"Temperature (C)","Apparent Temperature (C)","Humidity","Wind Speed (km/h)","Visibility (km)","Pressure (millibars)"
"19.4","19.4","0.93","6.279","14.7315","1018.23"
"4.95","3.1222222222222","1","7.889","5.8926","1000.86"
"22.661111111111","22.661111111111","0.38","13.9426","16.0517","1022.64"
"17.044444444444","17.044444444444","0.81","12.9766","14.9569","1008.99"
"1.0611111111111","-4.4944444444444","0.56","24.7779","15.8263","1013.73"
"2.2388888888889","-2.65","0.79","21.9604","10.8192","1008.84"
"3.9333333333333","2.4222222222222","0.76","6.2629","15.8263","1017.12"
"19.105555555556","19.105555555556","0.5","12.88","11.3988","1022.37"
"15.216666666667","15.216666666667","0.95","3.059","15.3111","1023.2"
"8.9555555555556","7.1388888888889","0.99","11.5115","4.025","1009.19"
"2.2888888888889","-0.45555555555555","0.64","9.5634","9.982","1020.16"
"11.477777777778","11.477777777778","0.9","3.22","14.7637","1023.53"
"-4.05","-7.5055555555556","0.63","8.0822","9.8049","1031.15"
"7.8777777777778","7.8777777777778","0.39","4.1055","10.3523","1023.07"
"0","-3.0944444444444","0.93","9.2575","0.7889","1028.46"
"15.055555555556","15.055555555556","0.87","6.9391","15.8263","1016.27"
"22.177777777778","22.177777777778","0.68","9.3702","11.27","1021.11"
"16.111111111111","16.111111111111","0.29","21.8638","10.5777","1015.14"
"12.377777777778","12.377777777778","0.86","7.4382","14.9569","1021.47"
"24.25","24.25","0.77","12.8156","10.4006","1015.43"
"8.8944444444444","5.3166666666667","0.41","27.7242","9.982","1019.09"
"7.4666666666667","5.6722222222222","0.72","9.7244","9.9015","1009.99"
"11.144444444444","11.144444444444","0.93","0.6601","3.1395","1024.13"
"11.061111111111","11.061111111111","0.77","31.2662","15.8263","1009.79"
"-0.022222222222222","-0.022222222222222","1","3.1395","0.644","1035.31"
"18.766666666667","18.766666666667","0.66","4.8783","9.982","1017.39"
"12.177777777778","12.177777777778","0.81","2.5277","11.1251","1014.44"
"13.711111111111","13.711111111111","0.91","4.6851","6.1824","1018.47"
"4.8611111111111","2.2944444444444","0.98","11.0285","0.161","1018.97"
"15.666666666667","15.666666666667","0.74","10.9641","9.8371","1024.57"
"22.205555555555","22.205555555555","0.76","3.8962","11.27","1017.79"
"14.994444444444","14.994444444444","0.63","0.1288","11.2056","1027.49"
"-1.1555555555555","-4.0166666666667","0.93","7.8246","0.0322","1032.13"
